Product Name,Sex,Category,Discounted Price,Original Price,Core Colors,Limited Edition Colors,Discounted Limited Edition Colors,Sizes,Discounted Limited Edition Colors Price
Color Block Knit Fingerless Gloves,Men,Accessories,$21.00,28.0,Shocking Pink/Evergreen,,,O/S,18.2
Color Block Earwarmer,Men,Accessories,$18.00,24.0,Shocking Pink/Evergreen,,,O/S,15.600000000000001
Holiday Stocking,Men,Accessories,$21.00,28.0,Bone,,,O/S,18.2
FIGS Logo Pen 5-Pack,Men,Accessories,$7.50,10.0,Multicolor,,,O/S,6.5
Travel Tumbler,Men,Accessories,$18.75,25.0,Black,,,O/S,16.25
FIGS Lanyard,Men,Accessories,$12.00,16.0,"Black, Grey",Optic White,"British Racing Green, Sea Mist",O/S,10.4
Fair Isle Knit Beanie,Men,Accessories,$25.50,34.0,Navy,,,O/S,22.1
Fair Isle Knit Fingerless Gloves,Men,Accessories,$21.00,28.0,Navy,,,O/S,18.2
Fair Isle Knit Earwarmer,Men,Accessories,$18.00,24.0,"Navy, Shocking Pink",,,O/S,15.600000000000001
FIGS | V Coterie Oatmilk of Scrubs Enamel Pin,Men,Accessories,$8.25,11.0,Navy,,,O/S,7.15
Modern Scrub Cap with Buttonholes,Men,Accessories,$13.50,18.0,"Black, Navy, Graphite, Ceil Blue, Burgundy",Auburn,,O/S,11.700000000000001
FIGS PIPS 2-Pack™,Men,Accessories,$6.00,8.0,"Coffee Cup/Desert Sage, Cross/Extreme Blue, FIGS Logo/Graphite, FIGS Logo/Rainbow, FIGS/Extreme Blue, I Got This/Shocking Pink, Llama/Black, Llama/Orange, Peace Bone/Black, Peace Sign/Cream, Peace Sign/Mauve, Peace Sign/Multicolor, Pill/Amethyst, Stethoscope/Navy, Ambulance/Coral",,,O/S,5.2
FIGS | V Coterie Wash Your Hands Enamel Pin,Men,Accessories,$8.25,11.0,Shocking Pink,,,O/S,7.15
Indestructible Belt Bag,Men,Accessories,$43.50,58.0,Paramedic Red,,,O/S,37.7
FIGS | V Coterie Saving Lives Enamel Pin,Men,Accessories,$8.25,11.0,Burgundy,,,O/S,7.15
FIGS Logo Beanie,Men,Accessories,$21.00,28.0,Espresso,,,O/S,18.2
Oversized Beanie,Men,Accessories,$21.00,28.0,"Black, Navy, Mauve, Moss","Dark Ultra Rose, Oatmeal",Lilac Dawn,O/S,18.2
FIONx CORE Protective Face Mask™,Men,Accessories,$6.00,8.0,"Black, Navy",,,"S/M, M/L",5.2
Color Block Earwarmer,Women,Accessories,$18.00,24.0,Shocking Pink/Evergreen,,,O/S,15.600000000000001
Color Block Knit Fingerless Gloves,Women,Accessories,$21.00,28.0,"Shocking Pink/Evergreen, Black, Navy, Royal Blue, Bonsai, Evergreen, Black, Navy, Graphite, Ceil Blue, Royal Blue, Burgundy, Mauve, Charcoal, Moss, Bonsai, Dark Harbor, Deep Reef, Dirty Chai, Earth, Emergency Yellow, Espresso, Evergreen, Fern, Auburn, Hunter Green, Oasis, Open Skies, British Racing Green, Optic White, Sea Mist, Serving Lime, Shaka Orange, Shocking Pink, Winning Blue, Winning Red, Extreme Blue, Boulder, Caribbean Blue, Hydrogreen, Pink Sand, Purple Jam, Lilac Dawn, Limeade, Black, Navy, Burgundy, Charcoal, Moss, Dirty Chai, Earth, Emergency Yellow, Evergreen, Auburn, British Racing Green, Sea Mist, Fiery Coral, Limeade, Clay, Black, Navy, Graphite, Ceil Blue, Royal Blue, Burgundy, Mauve, Charcoal, Moss, Bonsai, Dirty Chai, Emergency Yellow, Espresso, Evergreen, Auburn, Fern, Hunter Green, Oasis, Open Skies, British Racing Green, Sea Mist, Serving Lime, Shocking Pink, Extreme Blue, Caribbean Blue, Hydrogreen, Pink Sand, Purple Jam, Limeade",,,O/S,18.2
Color Block Knit Scarf,Women,Accessories,$43.50,58.0,Shocking Pink/Evergreen,,,O/S,37.7
High Pile Belt Bag,Women,Accessories,$43.50,58.0,"Black, Espresso, Bone",,,O/S,37.7
FIGS Compression Socks,Women,Accessories,$21.00,28.0,"Black, Navy, White, Grey","Double Stripe/Navy, FIGS Ring/Match Point Green, Fair Isle/Evergreen, Pride Awesome Humans/White, Stripe/Shocking Pink, Striped/Winning Blue, Tennis Ball/Winning Blue, Tennis Stripe/White, Track/Winning Red","Awesome Nurse/Limeade, Extreme/British Racing Green, Nurse/Limeade","S, M, L",18.2
Cozy Socks,Women,Accessories,$18.00,24.0,"Evergreen, Shocking Pink, Cream",,,O/S,15.600000000000001
Fair Isle Knit Beanie,Women,Accessories,$25.50,34.0,Navy,,,O/S,22.1
Fair Isle Knit Fingerless Gloves,Women,Accessories,$21.00,28.0,Navy,,,O/S,18.2
Holiday Stocking,Women,Accessories,$21.00,28.0,Bone,,,O/S,18.2
FIGS | V Coterie Wash Your Hands Enamel Pin,Women,Accessories,$8.25,11.0,Shocking Pink,,,O/S,7.15
FIGS Logo Pen 5-Pack,Women,Accessories,$7.50,10.0,Multicolor,,,O/S,6.5
Fair Isle Knit Earwarmer,Women,Accessories,$18.00,24.0,"Navy, Shocking Pink",,,O/S,15.600000000000001
